query_id,query_text,run_name,param_value,rank,score,chunk_id,chunk_text,relevance
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,bm25,15,1,20.608596801757812,5d135c7a-3751-42a2-81b9-6cc4ab892db6,"Topic: General
Section: Overview

# My styles are overridden by Mantine components styles, what should I do?
Learn how to use CSS layers to control styles order and prevent Mantine components from overriding your styles",0
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,bm25,15,2,20.50921058654785,b46b219a-71ac-4b2f-8d52-e20f3b63c13e,"Topic: General
Section: Is there anything I need to do on my side to make my app accessible?

Of course! While Mantine components provide a solid foundation for accessible applications,
there are still things that you need to do to ensure that your app is fully accessible.
If the component requires props to make it accessible, it will be mentioned in the component
documentation.  
Things to look out for while building accessible applications:  
* Use semantic HTML elements where possible: use `<button>` for buttons, `<a>` for links, etc.
* Provide proper labels for inputs
* Use `aria-label` attribute where necessary
* Ensure that your app is fully navigable with a keyboard
* Ensure that all elements in your app have proper color contrast
* And more  
If you are interested in learning more about web accessibility, you can check out these
free courses:  
* [Web Accessibility on Udacity](https://www.udacity.com/course/web-accessibility--ud891)
* [Develop Accessible Web Apps with React on Egghead](https://egghead.io/courses/develop-accessible-web-apps-with-react)",0
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,bm25,15,3,20.079675674438477,42be3ad8-d1fb-4dcb-aca0-f3abdd23da2b,"Topic: General
Section: Overview

# How can I apply styles to all Mantine components?
Learn how to use attribute selector to apply styles to all Mantine components",0
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,bm25,15,4,19.276737213134766,e3c877bc-7b36-4430-87c3-7f34791136fc,"Topic: GettingStarted
Section: Get started without framework

const theme = createTheme({
/** Put your mantine theme override here */
});

function Demo() {
return (
<MantineProvider theme={theme}>
{/* Your app here */}
</MantineProvider>
);
}
```  
If your application has server side rendering, add [ColorSchemeScript](https://mantine.dev/theming/color-schemes)
to the `<head />` of your application and spread `mantineHtmlProps` on the `<html />` element
to [avoid seeing a hydration warning](https://help.mantine.dev/q/color-scheme-hydration-warning):  
```tsx
import { ColorSchemeScript, mantineHtmlProps } from '@mantine/core';

function Demo() {
return (
<html lang=""en"" {...mantineHtmlProps}>
<head>
<meta charSet=""UTF-8"" />
<meta
name=""viewport""
content=""width=device-width, initial-scale=1.0""
/>
<title>My awesome app</title>

<ColorSchemeScript />
</head>
<body>{/* Your app here */}</body>
</html>
);
}
```  
All set! You can now use Mantine components in your application.",2
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,bm25,15,5,18.611520767211914,dc1cc447-1dc8-4a39-b6aa-74fe3c2d9e27,"Topic: General
Section: Overview

# My styles are broken with disabled JavaScript. What should I do?
Learn how to use Mantine without JavaScript enabled",0
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,bm25,15,6,18.506437301635742,6ca1faf8-382d-4a7f-8916-7099088d45c3,"Topic: General
Section: I want to add a custom color scheme. Can I do that?

No, Mantine does not support custom color schemes. If you attempt to do that,
most of the components will have broken styles. Instead of applying a custom
color scheme, customize colors with [theme](https://mantine.dev/theming/theme-object/).",0
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,bm25,15,7,18.18665885925293,9a897fa3-c2db-43d1-8114-9d488ed8098e,"Topic: LLMDocumentation
Section: Example prompts

Here are some example prompts you can use with AI tools:  
* ""Using Mantine v8, how do I create a dark mode toggle?""
* ""Show me how to use the AppShell component with a collapsible navbar""
* ""How can I customize the theme colors in MantineProvider?""
* ""Create a form with validation using Mantine's form hooks""
* ""How to align input with a button in a flex container?""",0
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,bm25,15,8,17.816286087036133,37a00e1e-9abc-461b-9f0b-d0ab8d3f9553,"Topic: MantineProvider
Section: theme

Pass [theme object](https://mantine.dev/theming/theme-object) override to `theme` prop. It will be merged with the default
theme and used in all components.  
```tsx
import { createTheme, MantineProvider } from '@mantine/core';

const theme = createTheme({
fontFamily: 'Open Sans, sans-serif',
primaryColor: 'cyan',
});

function Demo() {
return (
<MantineProvider theme={theme}>
{/* Your app here */}
</MantineProvider>
);
}
```",2
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,bm25,15,9,17.321380615234375,771eef83-c0cc-46a7-af4b-25f8efa781c6,"Topic: ThemeObject
Section: Store theme override object in a variable

To store theme override object in a variable, use `createTheme` function:  
```tsx
import { createTheme, MantineProvider } from '@mantine/core';

const myTheme = createTheme({
primaryColor: 'orange',
defaultRadius: 0,
});

function Demo() {
return (
<MantineProvider theme={myTheme}>
{/* Your app here */}
</MantineProvider>
);
}
```",2
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,bm25,15,10,17.119766235351562,fab20366-cf53-4e9c-9c82-77da3d795cac,"Topic: StylesApi
Section: classNames in theme.components

You can also define `classNames` in [`theme.components`](https://mantine.dev/theming/theme-object) to apply them to all
components of a specific type:  
```tsx
import { useState } from 'react';
import {
createTheme,
MantineProvider,
TextInput,
} from '@mantine/core';
// Styles are the same as in previous example
import classes from './Demo.module.css';

const theme = createTheme({
components: {
TextInput: TextInput.extend({
classNames: {
root: classes.root,
input: classes.input,
label: classes.label,
},
}),
},
});

function Demo() {
return (
<MantineProvider theme={theme}>
{/* Your app here */}
</MantineProvider>
);
}
```",0
